pl_name,pl_rade,st_teff,st_rad,st_mass
WASP-114 b,15.008851,5940.0,1.43,1.289
BD+20 594 b,2.57807,5766.0,1.08,1.67
Kepler-760 b,3.06,5322.0,0.85,0.89
K2-95 b,3.31,3566.0,0.4,0.41
HD 3167 b,1.67,5261.0,0.88,0.837
HD 3167 c,3.0,5261.0,0.88,0.837
KELT-17 b,17.093725,7454.0,1.645,1.635
WASP-92 b,16.376349,6280.0,1.341,1.19
WASP-93 b,17.900773,6700.0,1.524,1.334
WASP-118 b,16.14096,6410.0,1.696,1.32
HAT-P-65 b,18.05766791,5872.0,1.666,1.297
HAT-P-66 b,17.82231,6002.0,1.881,1.255
HATS-11 b,18.03,6563.0,1.54,1.33
HATS-12 b,7.76,6357.0,1.17,1.16
HATS-18 b,14.896761,5600.0,1.02,1.037
Kepler-761 b,2.03,5706.0,0.93,0.95
WASP-130 b,9.97601,5625.0,0.96,1.04
WASP-131 b,13.74221034,5990.0,1.561,1.06
WASP-132 b,10.09929161,4686.0,0.758,0.789
WASP-139 b,8.9672,5310.0,0.8,0.92
WASP-141 b,13.56289,5900.0,1.37,1.25
WASP-142 b,17.14977,6010.0,1.64,1.33
HATS-31 b,18.38276,6050.0,1.87,1.275
HATS-32 b,14.000041,5700.0,1.097,1.099
HATS-33 b,13.78707,5659.0,1.022,1.062
HATS-34 b,16.02887,5380.0,0.98,0.955
Kepler-418 b,13.45,5820.0,1.09,0.98
HATS-35 b,16.409976,6300.0,1.433,1.317
WASP-138 b,12.21781,6272.0,1.36,1.22
K2-101 b,2.0,4927.0,0.76,0.82
K2-102 b,1.3,4695.0,0.71,0.77
EPIC 211822797 b,1.92,4057.0,0.58,0.62
XO-6 b,23.20263,6720.0,1.93,1.47
EPIC 220674823 b,1.606,5578.0,0.99,0.913
EPIC 220674823 c,2.712,5578.0,0.99,0.913
K2-107 b,15.98,6061.0,1.81,1.3
WASP-53 b,12.038466,4953.0,0.798,0.839
WASP-81 b,16.017661,5870.0,1.283,1.08
KELT-16 b,15.860735,6236.0,1.36,1.211
TRAPPIST-1 f,1.045,2566.0,0.1192,0.0898
TRAPPIST-1 g,1.129,2566.0,0.1192,0.0898
HD 106315 b,2.44,6327.0,1.296,1.091
HD 106315 c,4.35,6327.0,1.296,1.091
HATS-22 b,10.682177,4803.0,0.689,0.759
Kepler-474 b,3.06,5785.0,1.08,0.99
HATS-23 b,20.84874,5780.0,1.199,1.121
HATS-24 b,15.636555,6125.0,1.12,1.07
Kepler-768 b,1.79,5108.0,0.78,0.82
HAT-P-67 b,23.9872187,6640.0,2.62,1.73
Kepler-150 f,3.64,5528.0,0.905339,0.97
Qatar-3 b,12.285064,6007.0,1.272,1.145
Qatar-4 b,12.722215,5215.0,0.849,0.896
Qatar-5 b,12.408363,5747.0,1.076,1.128
LHS 1140 b,1.73,3096.0,0.2159,0.1844
KELT-18 b,17.59813,6670.0,1.908,1.524
KELT-12 b,19.95202,6279.0,2.37,1.591
KELT-11 b,15.13212395,5375.0,2.69,1.44
KELT-9 b,21.196219,10170.0,2.362,2.52
HIP 65426 b,16.8135,8840.0,1.77,1.96
WASP-167 b,17.71022,7000.0,1.79,1.59
K2-113 b,12.14,5660.0,1.24,1.04
WASP-91 b,11.54527,4920.0,0.86,0.84
WASP-105 b,10.76064,5070.0,0.9,0.89
CoRoT-32 b,6.38913,5970.0,0.79,1.08
K2-117 c,2.06,3778.0,0.51,0.54
K2-118 b,2.54,4726.29,0.734626,0.756446
K2-125 b,2.18,3654.47,0.402049,0.494727
K2-128 b,1.42,4469.51,0.777569,0.711248
K2-129 b,1.04,3459.09,0.36001,0.360031
K2-130 b,1.25,4356.47,0.744261,0.69563
K2-131 b,1.69,5120.0,0.7595,0.803
K2-132 b,14.5717,4840.0,3.85,1.08
K2-133 b,1.34,3655.0,0.455,0.461
K2-133 c,1.603,3655.0,0.455,0.461
K2-133 d,2.003,3655.0,0.455,0.461
WASP-153 b,17.37395,5914.0,1.73,1.336
WASP-156 b,6.02802815,4987.0,0.8268,0.8712
MASCARA-1 b,17.90074218,7490.0,2.082,1.9
GJ 9827 b,1.44,4236.0,0.58,0.62
